Winner,Year,Wins
Isner J.,2010,1
Isner J.,2011,2
Isner J.,2012,2
Isner J.,2013,2
Isner J.,2014,2
Isner J.,2015,1
Isner J.,2017,2
Isner J.,2018,2
Isner J.,2019,1
Isner J.,2021,1
Istomin D.,2015,1
Istomin D.,2017,1
Ivanisevic G.,2001,1
Ivashka I.,2021,1
Jarry N.,2019,1
Jarry N.,2023,2
Johansson J.,2004,1
Johansson J.,2005,2
Johansson T.,2000,1
Johansson T.,2001,2
Johansson T.,2002,1
Johansson T.,2004,1
Johansson T.,2005,1
Johnson S.,2016,1
Johnson S.,2017,1
Johnson S.,2018,2
Kafelnikov Y.,2000,1
Kafelnikov Y.,2001,2
Kafelnikov Y.,2002,2
Karatsev A.,2021,2
Karatsev A.,2022,1
Karlovic I.,2007,3
Karlovic I.,2008,1
Karlovic I.,2013,1
Karlovic I.,2015,1
Karlovic I.,2016,2
Kecmanovic M.,2020,1
Khachanov K.,2016,1
Khachanov K.,2018,3
Khachanov K.,2023,1
Khachanov K.,2024,1
Kiefer N.,2000,2
Klizan M.,2012,1
Klizan M.,2014,1
Klizan M.,2015,1
Klizan M.,2016,2
Klizan M.,2018,1
Kohlschreiber P.,2007,1
Kohlschreiber P.,2008,1
Kohlschreiber P.,2011,1
Kohlschreiber P.,2012,1
Kohlschreiber P.,2014,1
Kohlschreiber P.,2015,1
Kohlschreiber P.,2016,1
Kohlschreiber P.,2017,1
Kokkinakis T.,2022,1
Korda S.,2021,1
Korda S.,2024,1
Koubek S.,2000,1
Koubek S.,2003,1
Kucera K.,2003,1
Kuerten G.,2000,5
Kuerten G.,2001,6
Kuerten G.,2002,1
Kuerten G.,2003,2
Kuerten G.,2004,1
Kukushkin M.,2010,1
Kunitsyn I.,2008,1
Kwon S.W.,2021,1
Kwon S.W.,2023,1
Kyrgios N.,2016,3
Kyrgios N.,2018,1
Kyrgios N.,2019,2
Kyrgios N.,2022,1
Lajovic D.,2019,1
Lajovic D.,2023,1
Lapentti N.,2001,1
Lapentti N.,2002,1
Larsson M.,2000,1
Lee H.T.,2003,1
Lehecka J.,2024,1
Ljubicic I.,2001,1
Ljubicic I.,2005,2
Ljubicic I.,2006,3
Ljubicic I.,2007,2
Ljubicic I.,2009,1
Ljubicic I.,2010,1
Llodra M.,2004,1
Llodra M.,2008,2
Llodra M.,2010,2
Londero J.I.,2019,1
Lopez F.,2004,1
Lopez F.,2010,1
Lopez F.,2013,1
Lopez F.,2014,1
Lopez F.,2016,1
Lopez F.,2017,1
Lopez F.,2019,1
Lorenzi P.,2016,1
Mahut N.,2013,2
Mahut N.,2015,1
Mahut N.,2016,1
Malisse X.,2005,1
Malisse X.,2007,2
Mannarino A.,2019,1
Mannarino A.,2022,1
Mannarino A.,2023,3
Mantilla F.,2001,1
Mantilla F.,2003,1
Martin A.,2001,1
Martinez P.,2022,1
Massu N.,2002,1
Massu N.,2003,2
Massu N.,2004,1
Massu N.,2006,1
Mathieu P.H.,2002,2
Mathieu P.H.,2007,2
Mayer F.,2011,1
Mayer F.,2016,1
Mayer L.,2014,1
Mayer L.,2017,1
Medvedev D.,2018,3
Medvedev D.,2019,4
Medvedev D.,2020,2
Medvedev D.,2021,4
Medvedev D.,2022,2
Medvedev D.,2023,5
Mello R.,2004,1
Melzer J.,2006,1
Melzer J.,2009,1
Melzer J.,2010,1
Melzer J.,2012,1
Melzer J.,2013,1
Millman J.,2020,1
Mirnyi M.,2003,1
Mirnyi M.,2005,1
Monaco J.,2007,3
Monaco J.,2012,4
Monaco J.,2013,1
Monaco J.,2016,1
Monfils G.,2005,1
Monfils G.,2009,1
Monfils G.,2010,1
Monfils G.,2011,1
Monfils G.,2014,1
Monfils G.,2016,1
Monfils G.,2018,1
Monfils G.,2019,1
Monfils G.,2020,2
Monfils G.,2022,1
Monfils G.,2023,1
Montanes A.,2008,1
Montanes A.,2009,2
Montanes A.,2010,2
Montanes A.,2013,1
Moodie W.,2005,1
Moya C.,2000,1
Moya C.,2001,1
Moya C.,2002,4
Moya C.,2003,3
Moya C.,2004,3
Moya C.,2005,1
Moya C.,2006,1
Moya C.,2007,1
Mpetshi G.,2024,1
Muller G.,2017,2
Murray A.,2006,1
Murray A.,2007,2
Murray A.,2008,5
Murray A.,2009,5
Murray A.,2010,2
Murray A.,2011,5
Murray A.,2012,2
Murray A.,2013,4
Murray A.,2014,3
Murray A.,2015,4
Murray A.,2016,8
Murray A.,2017,1
Murray A.,2019,1
